fir_id,district,police_station,ipc_section,crime_type,date_of_incident,location_description,latitude,longitude,modus_operandi,investigation_status,fir_text
FIR-2026-KA-0001,Belagavi,Belagavi Police Station,394,Voluntarily Causing Hurt in Committing Robbery,2024-05-01,"52, Swaminathan Zila, Pali 343486",16.046314,75.709163,Entered through unlocked door,Closed,"An incident of Voluntarily Causing Hurt in Committing Robbery under IPC Section 394 was reported at Belagavi Police Station, Belagavi. The incident took place at 52, Swaminathan Zila, Pali 343486. Modus operandi of the suspect: Entered through unlocked door. Investigation status is currently Closed."
FIR-2023-KA-0002,Mangaluru,Mangaluru Police Station,498A,Cruelty by Husband or Relatives,2024-04-01,"30/329, Nayak Chowk, Dehradun-703549",17.903833,75.997917,Broke open padlock of shop at night,Chargesheeted,"An incident of Cruelty by Husband or Relatives under IPC Section 498A was reported at Mangaluru Police Station, Mangaluru. The incident took place at 30/329, Nayak Chowk, Dehradun-703549. Modus operandi of the suspect: Broke open padlock of shop at night. Investigation status is currently Chargesheeted."
FIR-2024-KA-0003,Chikkamagaluru,Chikkamagaluru Police Station,363,Kidnapping,2026-02-19,"21/562, Sangha Marg, Bijapur-638610",15.702438,76.402439,Broke open padlock of shop at night,Open,"An incident of Kidnapping under IPC Section 363 was reported at Chikkamagaluru Police Station, Chikkamagaluru. The incident took place at 21/562, Sangha Marg, Bijapur-638610. Modus operandi of the suspect: Broke open padlock of shop at night. Investigation status is currently Open."
FIR-2024-KA-0004,Bengaluru Rural,Bengaluru Police Station,406,Criminal Breach of Trust,2025-03-16,"97, Hora Road, Anantapur-867578",17.364201,76.463497,Created fake profile on social media to defraud,Chargesheeted,"An incident of Criminal Breach of Trust under IPC Section 406 was reported at Bengaluru Police Station, Bengaluru Rural. The incident took place at 97, Hora Road, Anantapur-867578. Modus operandi of the suspect: Created fake profile on social media to defraud. Investigation status is currently Chargesheeted."
FIR-2026-KA-0005,Bengaluru Rural,Bengaluru Police Station,302,Murder,2024-11-11,"39, Saran Zila, Khandwa-280353",12.186708,78.136558,Assaulted victim following heated argument over traffic,Closed,"An incident of Murder under IPC Section 302 was reported at Bengaluru Police Station, Bengaluru Rural. The incident took place at 39, Saran Zila, Khandwa-280353. Modus operandi of the suspect: Assaulted victim following heated argument over traffic. Investigation status is currently Closed."
FIR-2026-KA-0006,Vijayapura,Vijayapura Police Station,506,Criminal Intimidation,2024-12-12,"78, Yadav Chowk, Darbhanga-169424",15.081524,74.316506,Snatched chain from victim walking on road,Chargesheeted,"An incident of Criminal Intimidation under IPC Section 506 was reported at Vijayapura Police Station, Vijayapura. The incident took place at 78, Yadav Chowk, Darbhanga-169424. Modus operandi of the suspect: Snatched chain from victim walking on road. Investigation status is currently Chargesheeted."
FIR-2026-KA-0007,Bengaluru Urban,Bengaluru Police Station,307,Attempt to Murder,2025-12-11,"47/06, Wable Street, Munger 725873",12.876588,77.51986,Snatched chain from victim walking on road,Chargesheeted,"An incident of Attempt to Murder under IPC Section 307 was reported at Bengaluru Police Station, Bengaluru Urban. The incident took place at 47/06, Wable Street, Munger 725873. Modus operandi of the suspect: Snatched chain from victim walking on road. Investigation status is currently Chargesheeted."
FIR-2025-KA-0008,Bengaluru Rural,Bengaluru Police Station,384,Extortion,2025-07-10,"36/99, Deshmukh, Muzaffarnagar-346032",18.388344,74.588731,Broke open padlock of shop at night,Open,"An incident of Extortion under IPC Section 384 was reported at Bengaluru Police Station, Bengaluru Rural. The incident took place at 36/99, Deshmukh, Muzaffarnagar-346032. Modus operandi of the suspect: Broke open padlock of shop at night. Investigation status is currently Open."
FIR-2023-KA-0009,Mangaluru,Mangaluru Police Station,324,Voluntarily Causing Hurt by Dangerous Weapons,2024-03-07,"03, Kalla Circle, Baranagar 220116",15.655206,77.832264,Created fake profile on social media to defraud,Chargesheeted,"An incident of Voluntarily Causing Hurt by Dangerous Weapons under IPC Section 324 was reported at Mangaluru Police Station, Mangaluru. The incident took place at 03, Kalla Circle, Baranagar 220116. Modus operandi of the suspect: Created fake profile on social media to defraud. Investigation status is currently Chargesheeted."
FIR-2026-KA-0010,Tumakuru,Tumakuru Police Station,392,Robbery,2023-11-03,"74/809, Garg Ganj, Srikakulam 449845",13.715531,76.248498,Assaulted victim following heated argument over traffic,Closed,"An incident of Robbery under IPC Section 392 was reported at Tumakuru Police Station, Tumakuru. The incident took place at 74/809, Garg Ganj, Srikakulam 449845. Modus operandi of the suspect: Assaulted victim following heated argument over traffic. Investigation status is currently Closed."
FIR-2024-KA-0011,Kalaburagi,Kalaburagi Police Station,302,Murder,2024-05-16,"H.No. 48, Issac Path, Akola-149234",15.958155,76.85674,Threatened victim with knife in isolated area,Closed,"An incident of Murder under IPC Section 302 was reported at Kalaburagi Police Station, Kalaburagi. The incident took place at H.No. 48, Issac Path, Akola-149234. Modus operandi of the suspect: Threatened victim with knife in isolated area. Investigation status is currently Closed."
FIR-2023-KA-0012,Belagavi,Belagavi Police Station,379,Theft,2024-09-16,"40, Kala Nagar, Satna 498290",11.53136,78.206176,Broke open padlock of shop at night,Chargesheeted,"An incident of Theft under IPC Section 379 was reported at Belagavi Police Station, Belagavi. The incident took place at 40, Kala Nagar, Satna 498290. Modus operandi of the suspect: Broke open padlock of shop at night. Investigation status is currently Chargesheeted."
FIR-2026-KA-0013,Bengaluru Urban,Bengaluru Police Station,376,Rape,2026-04-03,"42/73, Jain, Dehradun 617806",12.822104,77.663666,Offered high returns on fake investment scheme,Closed,"An incident of Rape under IPC Section 376 was reported at Bengaluru Police Station, Bengaluru Urban. The incident took place at 42/73, Jain, Dehradun 617806. Modus operandi of the suspect: Offered high returns on fake investment scheme. Investigation status is currently Closed."
FIR-2024-KA-0014,Bengaluru Rural,Bengaluru Police Station,420,Cheating/Fraud,2026-06-12,"92/24, Borra Circle, Serampore 903008",12.270328,77.986442,Assaulted victim following heated argument over traffic,Closed,"An incident of Cheating/Fraud under IPC Section 420 was reported at Bengaluru Police Station, Bengaluru Rural. The incident took place at 92/24, Borra Circle, Serampore 903008. Modus operandi of the suspect: Assaulted victim following heated argument over traffic. Investigation status is currently Closed."
FIR-2023-KA-0015,Belagavi,Belagavi Police Station,307,Attempt to Murder,2024-06-05,"80/577, Kumer Ganj, Guntur-619588",18.292479,77.779663,Broke open padlock of shop at night,Open,"An incident of Attempt to Murder under IPC Section 307 was reported at Belagavi Police Station, Belagavi. The incident took place at 80/577, Kumer Ganj, Guntur-619588. Modus operandi of the suspect: Broke open padlock of shop at night. Investigation status is currently Open."
FIR-2024-KA-0016,Chikkamagaluru,Chikkamagaluru Police Station,397,Robbery/Dacoity with Attempt to Cause Death,2025-01-05,"27/55, Shroff Chowk, Deoghar-681594",15.998873,77.269251,Broke open padlock of shop at night,Chargesheeted,"An incident of Robbery/Dacoity with Attempt to Cause Death under IPC Section 397 was reported at Chikkamagaluru Police Station, Chikkamagaluru. The incident took place at 27/55, Shroff Chowk, Deoghar-681594. Modus operandi of the suspect: Broke open padlock of shop at night. Investigation status is currently Chargesheeted."
FIR-2026-KA-0017,Kalaburagi,Kalaburagi Police Station,364,Kidnapping in Order to Murder,2024-09-01,"091, Sastry, Firozabad-108459",17.21254,74.989014,Threatened victim with knife in isolated area,Open,"An incident of Kidnapping in Order to Murder under IPC Section 364 was reported at Kalaburagi Police Station, Kalaburagi. The incident took place at 091, Sastry, Firozabad-108459. Modus operandi of the suspect: Threatened victim with knife in isolated area. Investigation status is currently Open."
FIR-2026-KA-0018,Hubballi-Dharwad,Hubballi-Dharwad Police Station,506,Criminal Intimidation,2024-06-02,"H.No. 15, Subramanian Nagar, Bareilly 193795",16.686435,77.498987,Assaulted victim following heated argument over traffic,Chargesheeted,"An incident of Criminal Intimidation under IPC Section 506 was reported at Hubballi-Dharwad Police Station, Hubballi-Dharwad. The incident took place at H.No. 15, Subramanian Nagar, Bareilly 193795. Modus operandi of the suspect: Assaulted victim following heated argument over traffic. Investigation status is currently Chargesheeted."
FIR-2026-KA-0019,Belagavi,Belagavi Police Station,326,Voluntarily Causing Grievous Hurt by Dangerous Weapons,2025-12-03,"248, Karnik Road, Srinagar-814542",13.932053,77.24703,Threatened victim with knife in isolated area,Chargesheeted,"An incident of Voluntarily Causing Grievous Hurt by Dangerous Weapons under IPC Section 326 was reported at Belagavi Police Station, Belagavi. The incident took place at 248, Karnik Road, Srinagar-814542. Modus operandi of the suspect: Threatened victim with knife in isolated area. Investigation status is currently Chargesheeted."
FIR-2023-KA-0020,Mysuru,Mysuru Police Station,384,Extortion,2024-02-22,"82/72, Bandi Street, Korba 481795",15.39918,78.268054,Entered through unlocked door,Open,"An incident of Extortion under IPC Section 384 was reported at Mysuru Police Station, Mysuru. The incident took place at 82/72, Bandi Street, Korba 481795. Modus operandi of the suspect: Entered through unlocked door. Investigation status is currently Open."
FIR-2024-KA-0021,Hassan,Hassan Police Station,392,Robbery,2024-05-10,"008, Natt Road, Jamnagar 580498",12.927369,76.054953,Threatened victim with knife in isolated area,Open,"An incident of Robbery under IPC Section 392 was reported at Hassan Police Station, Hassan. The incident took place at 008, Natt Road, Jamnagar 580498. Modus operandi of the suspect: Threatened victim with knife in isolated area. Investigation status is currently Open."
FIR-2026-KA-0022,Mysuru,Mysuru Police Station,376,Rape,2026-04-02,"67/718, Magar Zila, Guna 221188",15.85325,75.841722,Created fake profile on social media to defraud,Open,"An incident of Rape under IPC Section 376 was reported at Mysuru Police Station, Mysuru. The incident took place at 67/718, Magar Zila, Guna 221188. Modus operandi of the suspect: Created fake profile on social media to defraud. Investigation status is currently Open."
FIR-2023-KA-0023,Ballari,Ballari Police Station,506,Criminal Intimidation,2024-11-26,"H.No. 25, Bhatt Ganj, Machilipatnam-066747",16.227363,76.740839,Offered high returns on fake investment scheme,Open,"An incident of Criminal Intimidation under IPC Section 506 was reported at Ballari Police Station, Ballari. The incident took place at H.No. 25, Bhatt Ganj, Machilipatnam-066747. Modus operandi of the suspect: Offered high returns on fake investment scheme. Investigation status is currently Open."
FIR-2023-KA-0024,Chikkamagaluru,Chikkamagaluru Police Station,392,Robbery,2025-05-07,"549, Gour Marg, Guntur 672210",17.743563,75.994502,Threatened victim with knife in isolated area,Closed,"An incident of Robbery under IPC Section 392 was reported at Chikkamagaluru Police Station, Chikkamagaluru. The incident took place at 549, Gour Marg, Guntur 672210. Modus operandi of the suspect: Threatened victim with knife in isolated area. Investigation status is currently Closed."
FIR-2023-KA-0025,Mangaluru,Mangaluru Police Station,506,Criminal Intimidation,2026-04-02,"80/500, Batta Zila, Motihari-525094",13.583335,74.161101,Entered through unlocked door,Open,"An incident of Criminal Intimidation under IPC Section 506 was reported at Mangaluru Police Station, Mangaluru. The incident took place at 80/500, Batta Zila, Motihari-525094. Modus operandi of the suspect: Entered through unlocked door. Investigation status is currently Open."
FIR-2025-KA-0026,Shivamogga,Shivamogga Police Station,394,Voluntarily Causing Hurt in Committing Robbery,2024-11-17,"H.No. 489, Goda Path, Bongaigaon-697530",12.800889,77.696812,Broke open padlock of shop at night,Chargesheeted,"An incident of Voluntarily Causing Hurt in Committing Robbery under IPC Section 394 was reported at Shivamogga Police Station, Shivamogga. The incident took place at H.No. 489, Goda Path, Bongaigaon-697530. Modus operandi of the suspect: Broke open padlock of shop at night. Investigation status is currently Chargesheeted."
FIR-2025-KA-0027,Bengaluru Urban,Bengaluru Police Station,302,Murder,2025-12-12,"H.No. 337, Vohra Street, Bhiwandi 547778",13.10082,77.700722,Offered high returns on fake investment scheme,Closed,"An incident of Murder under IPC Section 302 was reported at Bengaluru Police Station, Bengaluru Urban. The incident took place at H.No. 337, Vohra Street, Bhiwandi 547778. Modus operandi of the suspect: Offered high returns on fake investment scheme. Investigation status is currently Closed."
FIR-2026-KA-0028,Shivamogga,Shivamogga Police Station,363,Kidnapping,2025-11-05,"39/764, Dixit Ganj, Ahmednagar 953826",13.237212,74.426275,Offered high returns on fake investment scheme,Closed,"An incident of Kidnapping under IPC Section 363 was reported at Shivamogga Police Station, Shivamogga. The incident took place at 39/764, Dixit Ganj, Ahmednagar 953826. Modus operandi of the suspect: Offered high returns on fake investment scheme. Investigation status is currently Closed."
FIR-2025-KA-0029,Kalaburagi,Kalaburagi Police Station,498A,Cruelty by Husband or Relatives,2025-12-28,"27/37, Sule Street, Ghaziabad 232649",15.426321,75.618903,Snatched chain from victim walking on road,Chargesheeted,"An incident of Cruelty by Husband or Relatives under IPC Section 498A was reported at Kalaburagi Police Station, Kalaburagi. The incident took place at 27/37, Sule Street, Ghaziabad 232649. Modus operandi of the suspect: Snatched chain from victim walking on road. Investigation status is currently Chargesheeted."
FIR-2026-KA-0030,Vijayapura,Vijayapura Police Station,364,Kidnapping in Order to Murder,2024-12-06,"72, Verma Marg, Aligarh-305847",17.769045,78.307064,Snatched chain from victim walking on road,Chargesheeted,"An incident of Kidnapping in Order to Murder under IPC Section 364 was reported at Vijayapura Police Station, Vijayapura. The incident took place at 72, Verma Marg, Aligarh-305847. Modus operandi of the suspect: Snatched chain from victim walking on road. Investigation status is currently Chargesheeted."
FIR-2024-KA-0031,Tumakuru,Tumakuru Police Station,506,Criminal Intimidation,2026-03-25,"35/44, Ganesh Path, Mira-Bhayandar 689691",13.741277,78.183484,Assaulted victim following heated argument over traffic,Closed,"An incident of Criminal Intimidation under IPC Section 506 was reported at Tumakuru Police Station, Tumakuru. The incident took place at 35/44, Ganesh Path, Mira-Bhayandar 689691. Modus operandi of the suspect: Assaulted victim following heated argument over traffic. Investigation status is currently Closed."
FIR-2024-KA-0032,Hubballi-Dharwad,Hubballi-Dharwad Police Station,420,Cheating/Fraud,2025-01-17,"H.No. 54, Borah Road, Gulbarga-693126",15.958207,74.450603,Threatened victim with knife in isolated area,Chargesheeted,"An incident of Cheating/Fraud under IPC Section 420 was reported at Hubballi-Dharwad Police Station, Hubballi-Dharwad. The incident took place at H.No. 54, Borah Road, Gulbarga-693126. Modus operandi of the suspect: Threatened victim with knife in isolated area. Investigation status is currently Chargesheeted."
FIR-2023-KA-0033,Shivamogga,Shivamogga Police Station,376,Rape,2024-10-17,"79, Kade Path, Thane-833475",14.185564,78.131168,Entered through unlocked door,Chargesheeted,"An incident of Rape under IPC Section 376 was reported at Shivamogga Police Station, Shivamogga. The incident took place at 79, Kade Path, Thane-833475. Modus operandi of the suspect: Entered through unlocked door. Investigation status is currently Chargesheeted."
FIR-2024-KA-0034,Chikkamagaluru,Chikkamagaluru Police Station,379,Theft,2024-01-28,"35/917, Nadkarni Nagar, Mira-Bhayandar 505641",13.757331,76.33273,Snatched chain from victim walking on road,Open,"An incident of Theft under IPC Section 379 was reported at Chikkamagaluru Police Station, Chikkamagaluru. The incident took place at 35/917, Nadkarni Nagar, Mira-Bhayandar 505641. Modus operandi of the suspect: Snatched chain from victim walking on road. Investigation status is currently Open."
FIR-2025-KA-0035,Hubballi-Dharwad,Hubballi-Dharwad Police Station,394,Voluntarily Causing Hurt in Committing Robbery,2024-07-01,"H.No. 53, Barad Nagar, Nandyal-422808",14.302971,78.340553,Assaulted victim following heated argument over traffic,Closed,"An incident of Voluntarily Causing Hurt in Committing Robbery under IPC Section 394 was reported at Hubballi-Dharwad Police Station, Hubballi-Dharwad. The incident took place at H.No. 53, Barad Nagar, Nandyal-422808. Modus operandi of the suspect: Assaulted victim following heated argument over traffic. Investigation status is currently Closed."
FIR-2026-KA-0036,Bengaluru Urban,Bengaluru Police Station,307,Attempt to Murder,2025-11-14,"51/46, Kohli Path, Bhiwandi-188659",12.927214,77.739675,Broke open padlock of shop at night,Open,"An incident of Attempt to Murder under IPC Section 307 was reported at Bengaluru Police Station, Bengaluru Urban. The incident took place at 51/46, Kohli Path, Bhiwandi-188659. Modus operandi of the suspect: Broke open padlock of shop at night. Investigation status is currently Open."
FIR-2026-KA-0037,Ballari,Ballari Police Station,395,Dacoity,2024-10-27,"699, Bali, Jorhat-517273",15.755691,76.75807,Offered high returns on fake investment scheme,Open,"An incident of Dacoity under IPC Section 395 was reported at Ballari Police Station, Ballari. The incident took place at 699, Bali, Jorhat-517273. Modus operandi of the suspect: Offered high returns on fake investment scheme. Investigation status is currently Open."
FIR-2026-KA-0038,Bengaluru Rural,Bengaluru Police Station,395,Dacoity,2024-03-25,"H.No. 15, Raju, Anand-120394",11.571778,75.97291,Created fake profile on social media to defraud,Chargesheeted,"An incident of Dacoity under IPC Section 395 was reported at Bengaluru Police Station, Bengaluru Rural. The incident took place at H.No. 15, Raju, Anand-120394. Modus operandi of the suspect: Created fake profile on social media to defraud. Investigation status is currently Chargesheeted."
FIR-2023-KA-0039,Tumakuru,Tumakuru Police Station,324,Voluntarily Causing Hurt by Dangerous Weapons,2024-12-10,"H.No. 129, Radhakrishnan Chowk, Muzaffarnagar 792597",12.172323,75.4199,Snatched chain from victim walking on road,Chargesheeted,"An incident of Voluntarily Causing Hurt by Dangerous Weapons under IPC Section 324 was reported at Tumakuru Police Station, Tumakuru. The incident took place at H.No. 129, Radhakrishnan Chowk, Muzaffarnagar 792597. Modus operandi of the suspect: Snatched chain from victim walking on road. Investigation status is currently Chargesheeted."
FIR-2024-KA-0040,Hassan,Hassan Police Station,364,Kidnapping in Order to Murder,2024-04-14,"H.No. 95, Shankar Path, Shimoga-972247",18.353681,76.816463,Offered high returns on fake investment scheme,Chargesheeted,"An incident of Kidnapping in Order to Murder under IPC Section 364 was reported at Hassan Police Station, Hassan. The incident took place at H.No. 95, Shankar Path, Shimoga-972247. Modus operandi of the suspect: Offered high returns on fake investment scheme. Investigation status is currently Chargesheeted."
FIR-2023-KA-0041,Belagavi,Belagavi Police Station,384,Extortion,2024-04-29,"134, Munshi Zila, Tiruchirappalli 119522",17.949797,78.334998,Assaulted victim following heated argument over traffic,Open,"An incident of Extortion under IPC Section 384 was reported at Belagavi Police Station, Belagavi. The incident took place at 134, Munshi Zila, Tiruchirappalli 119522. Modus operandi of the suspect: Assaulted victim following heated argument over traffic. Investigation status is currently Open."
FIR-2026-KA-0042,Bengaluru Urban,Bengaluru Police Station,395,Dacoity,2024-02-12,"04, Dugar Zila, Nangloi Jat-394302",12.859479,77.500702,Created fake profile on social media to defraud,Chargesheeted,"An incident of Dacoity under IPC Section 395 was reported at Bengaluru Police Station, Bengaluru Urban. The incident took place at 04, Dugar Zila, Nangloi Jat-394302. Modus operandi of the suspect: Created fake profile on social media to defraud. Investigation status is currently Chargesheeted."
FIR-2025-KA-0043,Bengaluru Urban,Bengaluru Police Station,363,Kidnapping,2025-11-14,"23, Bhalla Road, Lucknow-550621",12.830535,77.55401,Broke open padlock of shop at night,Chargesheeted,"An incident of Kidnapping under IPC Section 363 was reported at Bengaluru Police Station, Bengaluru Urban. The incident took place at 23, Bhalla Road, Lucknow-550621. Modus operandi of the suspect: Broke open padlock of shop at night. Investigation status is currently Chargesheeted."
FIR-2024-KA-0044,Davangere,Davangere Police Station,394,Voluntarily Causing Hurt in Committing Robbery,2026-03-09,"48/414, Randhawa Chowk, Sambalpur-658853",15.427643,76.629219,Assaulted victim following heated argument over traffic,Open,"An incident of Voluntarily Causing Hurt in Committing Robbery under IPC Section 394 was reported at Davangere Police Station, Davangere. The incident took place at 48/414, Randhawa Chowk, Sambalpur-658853. Modus operandi of the suspect: Assaulted victim following heated argument over traffic. Investigation status is currently Open."
FIR-2024-KA-0045,Kalaburagi,Kalaburagi Police Station,364,Kidnapping in Order to Murder,2024-08-05,"60/31, Murthy Circle, Kamarhati-818058",16.440824,78.367371,Created fake profile on social media to defraud,Chargesheeted,"An incident of Kidnapping in Order to Murder under IPC Section 364 was reported at Kalaburagi Police Station, Kalaburagi. The incident took place at 60/31, Murthy Circle, Kamarhati-818058. Modus operandi of the suspect: Created fake profile on social media to defraud. Investigation status is currently Chargesheeted."
FIR-2026-KA-0046,Bengaluru Urban,Bengaluru Police Station,498A,Cruelty by Husband or Relatives,2024-08-20,"24/81, Misra Zila, Hindupur-216383",12.897314,77.741166,Offered high returns on fake investment scheme,Open,"An incident of Cruelty by Husband or Relatives under IPC Section 498A was reported at Bengaluru Police Station, Bengaluru Urban. The incident took place at 24/81, Misra Zila, Hindupur-216383. Modus operandi of the suspect: Offered high returns on fake investment scheme. Investigation status is currently Open."
FIR-2025-KA-0047,Bengaluru Urban,Bengaluru Police Station,498A,Cruelty by Husband or Relatives,2025-01-03,"41/526, Kala Nagar, Danapur-490842",12.992374,77.482608,Entered through unlocked door,Open,"An incident of Cruelty by Husband or Relatives under IPC Section 498A was reported at Bengaluru Police Station, Bengaluru Urban. The incident took place at 41/526, Kala Nagar, Danapur-490842. Modus operandi of the suspect: Entered through unlocked door. Investigation status is currently Open."
FIR-2026-KA-0048,Kalaburagi,Kalaburagi Police Station,506,Criminal Intimidation,2025-08-27,"H.No. 73, Devan Nagar, Karaikudi 531899",16.399515,74.195867,Snatched chain from victim walking on road,Closed,"An incident of Criminal Intimidation under IPC Section 506 was reported at Kalaburagi Police Station, Kalaburagi. The incident took place at H.No. 73, Devan Nagar, Karaikudi 531899. Modus operandi of the suspect: Snatched chain from victim walking on road. Investigation status is currently Closed."
