fir_id,accused_id,role
FIR-2024-KA-0001,ACC-2024-KA-1661,primary
FIR-2026-KA-0002,ACC-2024-KA-1691,primary
FIR-2026-KA-0002,ACC-2024-KA-0271,associate
FIR-2026-KA-0003,ACC-2024-KA-1304,associate
FIR-2026-KA-0003,ACC-2024-KA-1012,primary
FIR-2026-KA-0004,ACC-2024-KA-0596,primary
FIR-2026-KA-0004,ACC-2024-KA-1252,associate
FIR-2026-KA-0005,ACC-2024-KA-0128,associate
FIR-2026-KA-0005,ACC-2024-KA-0594,associate
FIR-2026-KA-0006,ACC-2024-KA-1301,associate
FIR-2024-KA-0007,ACC-2024-KA-0425,associate
FIR-2024-KA-0007,ACC-2024-KA-0159,primary
FIR-2025-KA-0008,ACC-2024-KA-1460,associate
FIR-2025-KA-0009,ACC-2024-KA-0059,associate
FIR-2025-KA-0009,ACC-2024-KA-0815,associate
FIR-2023-KA-0010,ACC-2024-KA-0939,primary
FIR-2023-KA-0010,ACC-2024-KA-0281,primary
FIR-2026-KA-0011,ACC-2024-KA-0056,associate
FIR-2023-KA-0012,ACC-2024-KA-1781,associate
FIR-2023-KA-0012,ACC-2024-KA-0144,associate
FIR-2023-KA-0013,ACC-2024-KA-1883,associate
FIR-2023-KA-0014,ACC-2024-KA-0596,primary
FIR-2023-KA-0014,ACC-2024-KA-1798,associate
FIR-2025-KA-0015,ACC-2024-KA-0843,associate
FIR-2025-KA-0015,ACC-2024-KA-1180,primary
FIR-2025-KA-0016,ACC-2024-KA-1470,associate
FIR-2025-KA-0016,ACC-2024-KA-1332,associate
FIR-2026-KA-0017,ACC-2024-KA-1360,associate
FIR-2026-KA-0017,ACC-2024-KA-0751,associate
FIR-2026-KA-0018,ACC-2024-KA-1455,primary
FIR-2026-KA-0019,ACC-2024-KA-0302,associate
FIR-2024-KA-0020,ACC-2024-KA-0966,associate
FIR-2024-KA-0020,ACC-2024-KA-1825,primary
FIR-2026-KA-0021,ACC-2024-KA-1779,primary
FIR-2026-KA-0021,ACC-2024-KA-0766,associate
FIR-2024-KA-0022,ACC-2024-KA-0915,associate
FIR-2024-KA-0022,ACC-2024-KA-0094,primary
FIR-2025-KA-0023,ACC-2024-KA-0440,primary
