fir_id,victim_id
FIR-2024-KA-0001,VIC-2024-KA-1114
FIR-2026-KA-0002,VIC-2024-KA-0185
FIR-2026-KA-0003,VIC-2024-KA-0090
FIR-2026-KA-0004,VIC-2024-KA-0686
FIR-2026-KA-0005,VIC-2024-KA-1029
FIR-2026-KA-0006,VIC-2024-KA-0655
FIR-2024-KA-0007,VIC-2024-KA-0573
FIR-2025-KA-0008,VIC-2024-KA-0514
FIR-2025-KA-0009,VIC-2024-KA-0006
FIR-2023-KA-0010,VIC-2024-KA-0959
FIR-2026-KA-0011,VIC-2024-KA-0137
FIR-2023-KA-0012,VIC-2024-KA-0621
FIR-2023-KA-0013,VIC-2024-KA-0749
FIR-2023-KA-0014,VIC-2024-KA-1006
FIR-2025-KA-0015,VIC-2024-KA-0851
FIR-2025-KA-0016,VIC-2024-KA-0505
FIR-2026-KA-0017,VIC-2024-KA-0453
FIR-2026-KA-0018,VIC-2024-KA-0570
FIR-2026-KA-0019,VIC-2024-KA-0967
FIR-2024-KA-0020,VIC-2024-KA-1262
FIR-2026-KA-0021,VIC-2024-KA-0470
FIR-2024-KA-0022,VIC-2024-KA-0285
FIR-2025-KA-0023,VIC-2024-KA-1024
FIR-2024-KA-0024,VIC-2024-KA-0068
FIR-2026-KA-0025,VIC-2024-KA-1064
FIR-2025-KA-0026,VIC-2024-KA-1297
FIR-2025-KA-0027,VIC-2024-KA-0175
FIR-2024-KA-0028,VIC-2024-KA-0214
FIR-2024-KA-0029,VIC-2024-KA-0720
FIR-2023-KA-0030,VIC-2024-KA-0872
FIR-2023-KA-0031,VIC-2024-KA-1290
FIR-2024-KA-0032,VIC-2024-KA-1196
FIR-2024-KA-0033,VIC-2024-KA-0320
FIR-2024-KA-0034,VIC-2024-KA-0716
FIR-2026-KA-0035,VIC-2024-KA-0972
FIR-2026-KA-0036,VIC-2024-KA-0373
FIR-2023-KA-0037,VIC-2024-KA-1047
FIR-2024-KA-0038,VIC-2024-KA-0180
FIR-2026-KA-0039,VIC-2024-KA-0162
FIR-2023-KA-0040,VIC-2024-KA-1012
FIR-2023-KA-0041,VIC-2024-KA-0216
FIR-2025-KA-0042,VIC-2024-KA-0052
FIR-2023-KA-0043,VIC-2024-KA-1292
FIR-2023-KA-0044,VIC-2024-KA-1366
FIR-2023-KA-0045,VIC-2024-KA-1324
FIR-2024-KA-0046,VIC-2024-KA-1465
FIR-2026-KA-0047,VIC-2024-KA-0735
FIR-2023-KA-0048,VIC-2024-KA-1141
FIR-2025-KA-0049,VIC-2024-KA-0289
FIR-2024-KA-0050,VIC-2024-KA-0009
FIR-2026-KA-0051,VIC-2024-KA-1053
FIR-2025-KA-0052,VIC-2024-KA-1131
FIR-2023-KA-0053,VIC-2024-KA-1339
FIR-2025-KA-0054,VIC-2024-KA-0765
FIR-2023-KA-0055,VIC-2024-KA-1411
FIR-2023-KA-0056,VIC-2024-KA-1361
FIR-2024-KA-0057,VIC-2024-KA-0400
FIR-2026-KA-0058,VIC-2024-KA-0961
FIR-2025-KA-0059,VIC-2024-KA-1162
FIR-2026-KA-0060,VIC-2024-KA-0296
FIR-2024-KA-0061,VIC-2024-KA-1197
FIR-2023-KA-0062,VIC-2024-KA-0503
FIR-2025-KA-0063,VIC-2024-KA-1255
FIR-2024-KA-0064,VIC-2024-KA-1336
FIR-2024-KA-0065,VIC-2024-KA-0539
FIR-2025-KA-0066,VIC-2024-KA-0037
FIR-2024-KA-0067,VIC-2024-KA-0856
FIR-2026-KA-0068,VIC-2024-KA-0791
FIR-2024-KA-0069,VIC-2024-KA-0223
FIR-2023-KA-0070,VIC-2024-KA-0407
FIR-2023-KA-0071,VIC-2024-KA-0387
FIR-2026-KA-0072,VIC-2024-KA-0996
FIR-2026-KA-0073,VIC-2024-KA-0126
FIR-2023-KA-0074,VIC-2024-KA-0851
FIR-2026-KA-0075,VIC-2024-KA-0366
FIR-2026-KA-0076,VIC-2024-KA-0628
FIR-2023-KA-0077,VIC-2024-KA-0075
FIR-2023-KA-0078,VIC-2024-KA-0167
FIR-2025-KA-0079,VIC-2024-KA-0623
FIR-2025-KA-0080,VIC-2024-KA-0176
FIR-2025-KA-0081,VIC-2024-KA-0270
FIR-2025-KA-0082,VIC-2024-KA-1183
FIR-2024-KA-0083,VIC-2024-KA-0596
FIR-2026-KA-0084,VIC-2024-KA-0548
FIR-2023-KA-0085,VIC-2024-KA-0447
FIR-2024-KA-0086,VIC-2024-KA-1459
FIR-2025-KA-0087,VIC-2024-KA-0568
FIR-2026-KA-0088,VIC-2024-KA-0503
FIR-2023-KA-0089,VIC-2024-KA-0162
FIR-2026-KA-0090,VIC-2024-KA-1064
FIR-2024-KA-0091,VIC-2024-KA-1338
FIR-2026-KA-0092,VIC-2024-KA-1279
FIR-2024-KA-0093,VIC-2024-KA-1085
FIR-2026-KA-0094,VIC-2024-KA-0986
FIR-2025-KA-0095,VIC-2024-KA-0115
FIR-2025-KA-0096,VIC-2024-KA-0221
FIR-2026-KA-0097,VIC-2024-KA-0406
FIR-2024-KA-0098,VIC-2024-KA-1480
FIR-2024-KA-0099,VIC-2024-KA-0771
FIR-2024-KA-0100,VIC-2024-KA-0856
FIR-2023-KA-0101,VIC-2024-KA-0774
FIR-2023-KA-0102,VIC-2024-KA-1486
FIR-2024-KA-0103,VIC-2024-KA-0964
FIR-2023-KA-0104,VIC-2024-KA-1176
FIR-2023-KA-0105,VIC-2024-KA-0702
FIR-2024-KA-0106,VIC-2024-KA-0055
FIR-2026-KA-0107,VIC-2024-KA-0816
FIR-2025-KA-0108,VIC-2024-KA-1312
FIR-2026-KA-0109,VIC-2024-KA-1266
FIR-2024-KA-0110,VIC-2024-KA-0396
FIR-2026-KA-0111,VIC-2024-KA-0083
FIR-2023-KA-0112,VIC-2024-KA-0603
FIR-2026-KA-0113,VIC-2024-KA-0720
FIR-2026-KA-0114,VIC-2024-KA-0685
FIR-2023-KA-0115,VIC-2024-KA-0093
FIR-2024-KA-0116,VIC-2024-KA-1393
FIR-2023-KA-0117,VIC-2024-KA-0776
FIR-2025-KA-0118,VIC-2024-KA-0808
FIR-2026-KA-0119,VIC-2024-KA-0265
FIR-2026-KA-0120,VIC-2024-KA-0279
FIR-2023-KA-0121,VIC-2024-KA-0717
FIR-2024-KA-0122,VIC-2024-KA-0422
FIR-2025-KA-0123,VIC-2024-KA-1115
FIR-2023-KA-0124,VIC-2024-KA-0922
FIR-2024-KA-0125,VIC-2024-KA-0329
FIR-2025-KA-0126,VIC-2024-KA-1376
FIR-2026-KA-0127,VIC-2024-KA-0175
FIR-2024-KA-0128,VIC-2024-KA-0066
FIR-2025-KA-0129,VIC-2024-KA-0603
FIR-2025-KA-0130,VIC-2024-KA-0572
FIR-2026-KA-0131,VIC-2024-KA-0456
FIR-2023-KA-0132,VIC-2024-KA-1084
FIR-2025-KA-0133,VIC-2024-KA-0214
FIR-2026-KA-0134,VIC-2024-KA-0270
FIR-2025-KA-0135,VIC-2024-KA-0848
FIR-2026-KA-0136,VIC-2024-KA-0888
FIR-2026-KA-0137,VIC-2024-KA-0461
FIR-2025-KA-0138,VIC-2024-KA-0736
FIR-2026-KA-0139,VIC-2024-KA-0176
FIR-2024-KA-0140,VIC-2024-KA-0435
FIR-2025-KA-0141,VIC-2024-KA-0596
FIR-2024-KA-0142,VIC-2024-KA-0557
FIR-2024-KA-0143,VIC-2024-KA-1343
FIR-2026-KA-0144,VIC-2024-KA-0118
FIR-2023-KA-0145,VIC-2024-KA-0655
FIR-2025-KA-0146,VIC-2024-KA-0065
FIR-2024-KA-0147,VIC-2024-KA-0300
FIR-2024-KA-0148,VIC-2024-KA-0864
FIR-2025-KA-0149,VIC-2024-KA-0212
FIR-2023-KA-0150,VIC-2024-KA-0933
FIR-2025-KA-0151,VIC-2024-KA-0685
FIR-2025-KA-0152,VIC-2024-KA-0236
FIR-2024-KA-0153,VIC-2024-KA-1180
FIR-2026-KA-0154,VIC-2024-KA-0916
FIR-2024-KA-0155,VIC-2024-KA-1431
FIR-2025-KA-0156,VIC-2024-KA-0455
FIR-2024-KA-0157,VIC-2024-KA-1096
FIR-2025-KA-0158,VIC-2024-KA-0044
FIR-2023-KA-0159,VIC-2024-KA-1132
FIR-2026-KA-0160,VIC-2024-KA-1375
FIR-2023-KA-0161,VIC-2024-KA-0804
FIR-2023-KA-0162,VIC-2024-KA-1256
FIR-2024-KA-0163,VIC-2024-KA-1097
FIR-2025-KA-0164,VIC-2024-KA-1449
FIR-2024-KA-0165,VIC-2024-KA-0770
FIR-2024-KA-0166,VIC-2024-KA-1001
FIR-2026-KA-0167,VIC-2024-KA-0806
FIR-2025-KA-0168,VIC-2024-KA-0457
FIR-2025-KA-0169,VIC-2024-KA-0890
FIR-2025-KA-0170,VIC-2024-KA-0351
FIR-2024-KA-0171,VIC-2024-KA-1114
FIR-2025-KA-0172,VIC-2024-KA-0280
FIR-2025-KA-0173,VIC-2024-KA-0833
FIR-2023-KA-0174,VIC-2024-KA-0392
FIR-2026-KA-0175,VIC-2024-KA-0675
FIR-2026-KA-0176,VIC-2024-KA-0505
FIR-2023-KA-0177,VIC-2024-KA-1359
FIR-2024-KA-0178,VIC-2024-KA-1259
FIR-2026-KA-0179,VIC-2024-KA-0172
FIR-2026-KA-0180,VIC-2024-KA-0445
FIR-2023-KA-0181,VIC-2024-KA-0931
FIR-2024-KA-0182,VIC-2024-KA-0889
FIR-2026-KA-0183,VIC-2024-KA-0682
FIR-2026-KA-0184,VIC-2024-KA-0806
FIR-2023-KA-0185,VIC-2024-KA-1332
